product_code,topic,title,destination_name
217270P2,adventure,"Bioluminescent Bay Night Kayaking, Fajardo 7:30pm",san-juan
244937P4,boat-tours,Icacos Luxury Sailing Catamaran All Inclusive Tour,san-juan
6013FAJ,boat-tours,Culebra Snorkeling Tour by Catamaran from Fajardo,san-juan
7051P4,boat-tours,Savor the Sunset: Old San Juan Walking Food Tour,san-juan
170591P1,hiking,El Yunque Rainforest Hiking Tour from San Juan,san-juan
101727P4,other,Top Rated El Yunque Rainforest & Waterslide – SmallGroup Tour,san-juan
104842P2,other,"Day Sail with Transportation from San Juan, Condado, Isla Verde!!",san-juan
162160P1,other,Half-Day Tour: El Yunque Rainforest and Waterslide Adventure,san-juan
171122P18,other,Vieques Bio Bay Tour and Beach Day Trip from San Juan by Ferry,san-juan
195978P2,other,La Parguera Bio Bay Boat Ride and Swimming w/ San Juan Transport,san-juan
203528P2,other,Old San Juan Immersive Walk: History and Culture,san-juan
284065P2,other,Private Historical Walking Tour of Old San Juan,san-juan
29733P2,other,Underwater Sea Trek in San Juan: Explore Beneath the Waves,san-juan
322734P2,other,"Cave, Waterfall and River Adventure in Charco Azul from San Juan",san-juan
333045P1,other,El Yunque Waterslide and Waterfall beach Tour with Food n Photos,san-juan
334155P1,other,El Yunque Tour with Luquillo Lunch Stop and Transport: 6 ppl Max,san-juan
358368P1,other,Small-Group El Yunque Waterslide & transportation w/ Photos,san-juan
388420P1,other,El Yunque National Forest Guided Tour with Transport,san-juan
481338P4,other,"3 Tours in 1 Day: Old San Juan, Rainforest, Beach with Transport",san-juan
5509278P1,other,Discover Old San Juan Rich Heritage,san-juan
64529P1,other,ATV Single Rider Adventure Near San Juan - Hacienda Campo Rico,san-juan
9406P12,other,Old San Juan Deluxe Walking Tour,san-juan
174461P1,snorkeling,Puerto Rico Jet Snorkel with Turtles and Videos in San Juan,san-juan
45107P2,snorkeling,San Juan Guided Turtle Snorkel Tour and Complimentary Videos,san-juan
486634P7,snorkeling,San Juan: Snorkeling with Turtles and Complimentary Videos,san-juan
